source_system,deduction_id,customer_id,invoice_id,payment_id,reason_code,amount,status
SAP_S4HANA_SIM,D-SAP-P001-08,SAP-C001,SAP-I001-09,SAP-P001-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P002-08,SAP-C002,SAP-I002-09,SAP-P002-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P003-08,SAP-C003,SAP-I003-09,SAP-P003-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P004-08,SAP-C004,SAP-I004-09,SAP-P004-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P005-08,SAP-C005,SAP-I005-09,SAP-P005-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P006-08,SAP-C006,SAP-I006-09,SAP-P006-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P007-08,SAP-C007,SAP-I007-09,SAP-P007-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P008-08,SAP-C008,SAP-I008-09,SAP-P008-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P009-08,SAP-C009,SAP-I009-09,SAP-P009-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P010-08,SAP-C010,SAP-I010-09,SAP-P010-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P011-08,SAP-C011,SAP-I011-09,SAP-P011-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P012-08,SAP-C012,SAP-I012-09,SAP-P012-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P013-08,SAP-C013,SAP-I013-09,SAP-P013-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P014-08,SAP-C014,SAP-I014-09,SAP-P014-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P015-08,SAP-C015,SAP-I015-09,SAP-P015-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P016-08,SAP-C016,SAP-I016-09,SAP-P016-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P017-08,SAP-C017,SAP-I017-09,SAP-P017-08,FREIGHT_SHORTAGE,100.0,VALIDATED
SAP_S4HANA_SIM,D-SAP-P018-08,SAP-C018,SAP-I018-09,SAP-P018-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P001-08,ORA-C001,ORA-I001-09,ORA-P001-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P002-08,ORA-C002,ORA-I002-09,ORA-P002-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P003-08,ORA-C003,ORA-I003-09,ORA-P003-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P004-08,ORA-C004,ORA-I004-09,ORA-P004-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P005-08,ORA-C005,ORA-I005-09,ORA-P005-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P006-08,ORA-C006,ORA-I006-09,ORA-P006-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P007-08,ORA-C007,ORA-I007-09,ORA-P007-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P008-08,ORA-C008,ORA-I008-09,ORA-P008-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P009-08,ORA-C009,ORA-I009-09,ORA-P009-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P010-08,ORA-C010,ORA-I010-09,ORA-P010-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P011-08,ORA-C011,ORA-I011-09,ORA-P011-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P012-08,ORA-C012,ORA-I012-09,ORA-P012-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P013-08,ORA-C013,ORA-I013-09,ORA-P013-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P014-08,ORA-C014,ORA-I014-09,ORA-P014-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P015-08,ORA-C015,ORA-I015-09,ORA-P015-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P016-08,ORA-C016,ORA-I016-09,ORA-P016-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P017-08,ORA-C017,ORA-I017-09,ORA-P017-08,FREIGHT_SHORTAGE,100.0,VALIDATED
ORACLE_FUSION_SIM,D-ORA-P018-08,ORA-C018,ORA-I018-09,ORA-P018-08,FREIGHT_SHORTAGE,100.0,VALIDATED
